length,diameter,height,whole-weight,shucked-weight,viscera-weight,shell-weight,sex_F,sex_I,sex_M,rings
124,97,41,243.8,77.5,50.1,77.0,0,0,1,14
109,88,27,183.7,85.8,40.3,47.5,1,0,0,10
136,108,38,324.6,143.3,70.8,94.3,0,0,1,12
110,88,33,172.1,62.4,33.8,60.0,0,1,0,17
78,60,20,53.3,22.1,11.8,16.8,0,1,0,7
123,99,31,257.3,87.0,58.6,64.9,0,0,1,11
106,82,28,136.2,61.9,28.3,36.7,0,0,1,6
105,83,34,166.5,55.1,33.7,62.0,1,0,0,13
113,88,25,160.4,71.9,36.5,43.0,0,0,1,9
76,55,19,48.5,21.2,9.7,42.0,0,1,0,6
137,109,36,353.6,149.9,78.4,97.0,1,0,0,16
70,54,15,43.0,20.0,7.2,13.0,0,1,0,6
120,101,38,225.8,87.7,51.2,72.0,1,0,0,13
117,94,29,191.3,80.5,47.3,53.0,0,0,1,9
138,112,43,343.8,136.0,59.8,94.0,1,0,0,17
110,85,28,190.4,97.9,38.9,43.7,1,0,0,7
125,98,35,246.6,111.3,49.4,73.0,1,0,0,11
121,91,29,195.5,93.6,35.5,55.0,1,0,0,9
116,90,47,214.2,60.0,41.2,79.0,1,0,0,14
127,99,36,319.2,123.4,63.4,74.0,1,0,0,11
114,87,34,174.6,76.4,36.6,54.1,0,0,1,10
119,91,30,208.8,103.6,44.1,54.0,0,0,1,9
145,113,42,428.5,206.0,97.4,100.6,1,0,0,14
59,43,14,24.2,9.4,3.1,8.1,0,1,0,6
69,54,18,39.0,15.6,9.1,11.8,0,0,1,9
80,62,23,62.8,30.9,11.9,17.4,0,1,0,6
144,110,39,414.6,214.3,85.3,100.3,1,0,0,9
108,85,27,137.2,69.5,30.9,42.6,0,1,0,8
80,61,17,59.4,21.6,14.1,20.0,0,0,1,10
98,75,25,108.9,55.8,23.0,26.0,0,1,0,8
121,94,33,246.3,120.5,52.4,58.5,0,0,1,11
102,77,29,153.3,79.7,28.0,36.1,0,1,0,8
123,96,36,231.9,96.9,43.3,65.0,0,0,1,13
112,90,32,184.4,86.4,35.6,52.0,0,0,1,15
122,90,26,174.5,77.8,34.3,54.4,1,0,0,11
92,70,23,83.1,36.0,19.6,23.5,0,1,0,7
62,45,15,25.9,9.1,6.7,8.8,0,0,1,9
41,28,10,9.2,3.3,2.4,2.7,0,1,0,6
64,49,15,31.1,11.7,7.6,9.8,0,0,1,11
139,114,46,377.0,173.3,87.0,100.0,0,0,1,19
118,93,33,223.0,103.3,54.6,55.0,0,0,1,10
113,88,31,187.9,85.5,42.8,54.0,1,0,0,12
106,88,41,167.0,64.0,43.5,49.0,0,0,1,14
82,67,23,88.1,38.0,17.0,27.0,0,0,1,8
106,77,25,133.9,57.8,30.2,36.0,1,0,0,10
90,65,27,87.6,36.1,23.3,22.0,1,0,0,9
131,102,35,283.0,117.7,74.5,72.8,1,0,0,10
100,77,27,110.2,44.9,14.3,41.2,0,0,1,11
66,50,21,34.3,13.1,7.0,12.0,0,1,0,7
111,86,31,147.9,62.7,28.7,56.0,0,1,0,10
127,98,35,248.7,116.1,62.6,61.0,1,0,0,10
124,96,46,218.7,80.6,49.0,71.0,1,0,0,14
129,98,32,233.3,98.7,63.1,59.8,1,0,0,9
95,73,20,26.3,40.5,17.5,24.6,0,1,0,7
110,84,29,147.7,64.2,29.7,50.4,0,0,1,11
90,70,28,94.8,42.0,21.8,25.5,0,1,0,16
87,65,23,78.3,30.8,18.8,24.0,1,0,0,7
127,100,36,263.8,109.7,58.4,98.0,0,1,0,16
97,78,20,111.3,44.3,23.1,37.0,1,0,0,9
144,110,41,433.0,221.1,105.0,80.8,0,0,1,10
143,113,35,390.5,152.9,83.7,82.7,0,0,1,10
106,85,26,151.7,65.0,39.4,41.0,1,0,0,8
91,70,28,103.7,44.2,25.3,27.0,1,0,0,10
105,86,27,168.7,86.5,36.0,36.3,1,0,0,9
128,103,33,273.8,126.4,68.3,71.6,0,0,1,10
79,60,24,59.9,25.3,13.6,17.9,0,1,0,8
83,61,21,72.1,24.0,16.4,20.0,1,0,0,10
42,30,11,9.1,4.0,1.3,2.6,0,1,0,4
118,100,40,237.4,82.4,54.1,74.0,0,0,1,16
104,85,31,154.7,59.4,24.6,51.0,0,0,1,17
100,80,30,161.7,54.6,22.4,59.0,1,0,0,13
130,113,40,332.9,150.6,73.4,86.0,1,0,0,12
98,73,25,111.7,50.4,25.2,32.3,0,1,0,10
87,66,22,76.0,30.3,18.9,22.0,0,1,0,7
123,104,30,268.7,125.8,52.1,69.0,1,0,0,10
83,61,20,65.0,31.2,10.1,18.2,0,0,1,6
88,64,24,91.3,48.7,18.4,20.5,0,0,1,8
64,41,16,36.2,17.6,6.8,9.9,0,1,0,5
138,110,40,369.3,146.4,94.4,114.0,0,0,1,19
134,105,36,298.3,145.6,68.6,76.2,0,0,1,9
84,63,23,71.0,37.9,13.0,17.4,0,1,0,6
127,103,38,274.3,101.3,61.0,90.0,1,0,0,10
113,90,39,200.7,81.2,50.1,57.0,1,0,0,15
120,92,34,236.1,91.2,67.4,65.8,0,0,1,11
150,110,36,378.6,188.4,79.4,89.0,0,0,1,11
70,53,18,45.3,19.9,11.5,13.0,0,0,1,6
128,102,38,322.6,124.3,72.2,94.0,0,0,1,14
101,78,26,134.8,63.3,28.2,35.7,1,0,0,9
104,85,30,162.6,77.0,40.3,46.0,1,0,0,10
27,26,8,5.8,2.5,1.3,1.6,0,1,0,4
119,93,35,223.0,80.3,50.8,78.0,0,0,1,13
88,66,27,81.9,32.6,20.1,23.8,0,1,0,6
103,78,28,135.6,68.2,26.5,23.8,0,0,1,8
101,77,30,128.3,49.2,30.4,43.0,0,0,1,12
127,105,37,281.3,136.8,60.0,74.9,0,0,1,10
110,85,29,178.0,86.5,34.2,47.2,0,1,0,10
120,96,33,183.3,82.7,39.3,54.5,0,0,1,9
117,95,37,191.7,82.9,32.3,66.0,1,0,0,11
112,92,36,194.0,68.4,39.2,71.0,1,0,0,12
125,105,43,315.3,102.3,51.9,133.0,1,0,0,16
87,65,22,86.7,35.6,19.7,31.0,1,0,0,7
117,91,25,205.4,78.2,42.4,50.0,0,0,1,17
107,87,32,162.1,63.1,35.9,48.0,1,0,0,10
127,97,38,275.3,126.8,57.7,81.2,1,0,0,11
138,106,42,316.6,147.1,81.0,77.3,0,0,1,12
